timestamp,dist_real_cm,dist_sensor_cm
1771607386.89116,5,4.37
1771607386.91624,5,4.36
1771607386.94130,5,4.34
1771607386.96638,5,4.34
1771607386.99144,5,4.42
1771607387.01651,5,4.34
1771607387.04158,5,4.41
1771607387.06665,5,4.42
1771607387.09172,5,4.36
1771607387.11685,5,4.37
1771607387.14187,5,4.37
1771607387.16695,5,4.44
1771607387.19201,5,4.32
1771607387.21705,5,4.35
1771607387.24211,5,4.41
1771607387.26717,5,4.33
1771607387.29223,5,4.34
1771607387.31729,5,4.34
1771607387.34237,5,4.33
1771607387.36743,5,4.42
1771607387.39249,5,4.42
1771607387.41759,5,4.35
1771607387.44262,5,4.31
1771607387.46772,5,4.4
1771607387.49276,5,4.41
1771607387.51782,5,4.32
1771607387.54288,5,4.33
1771607387.56794,5,4.32
1771607387.59300,5,4.34
1771607387.61808,5,4.42
1771607387.64313,5,4.32
1771607387.66818,5,4.34
1771607387.69325,5,4.42
1771607387.71831,5,4.35
1771607387.74337,5,4.43
1771607387.76844,5,4.34
1771607387.79350,5,4.43
1771607387.81856,5,4.44
1771607387.84364,5,4.42
1771607387.86871,5,4.35
1771607387.89378,5,4.34
1771607387.91892,5,4.34
1771607387.94397,5,4.39
1771607387.96906,5,4.41
1771607387.99410,5,4.34
1771607388.01916,5,4.42
1771607388.04423,5,4.36
1771607388.06928,5,4.42
1771607388.09436,5,4.42
1771607388.11940,5,4.41
1771607388.14447,5,4.33
1771607388.16954,5,4.42
1771607388.19460,5,4.43
1771607388.21966,5,4.41
1771607388.24472,5,4.33
1771607388.26980,5,4.33
1771607388.29485,5,4.34
1771607388.31991,5,4.41
1771607388.34498,5,4.42
1771607388.37005,5,4.33
1771607388.39511,5,4.41
1771607388.42016,5,4.35
1771607388.44522,5,4.43
1771607388.47029,5,4.42
1771607388.49534,5,4.35
1771607388.52041,5,4.44
1771607388.54547,5,4.35
1771607388.57053,5,4.42
1771607388.59559,5,4.35
1771607388.62065,5,4.34
1771607388.64571,5,4.33
1771607388.67078,5,4.42
1771607388.69591,5,4.4
1771607388.72096,5,4.42
1771607388.74599,5,4.36
1771607388.77105,5,4.43
1771607388.79611,5,4.35
1771607388.82121,5,4.35
1771607388.84629,5,4.34
1771607388.87134,5,4.37
1771607388.89639,5,4.37
1771607388.92145,5,4.46
1771607388.94651,5,4.36
1771607388.97159,5,4.35
1771607388.99664,5,4.36
1771607389.02174,5,4.4
1771607389.04681,5,4.37
1771607389.07189,5,4.39
1771607389.09695,5,4.38
1771607389.12202,5,4.37
